Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,149000.0,149000.0,131000.0,133000.0,103241.234375,11288332
2016-01-31,132000.0,153000.0,126500.0,147500.0,114496.8671875,10251020
2016-02-29,147500.0,159500.0,143500.0,152500.0,118378.1015625,10301411
2016-03-31,152500.0,155000.0,142000.0,143500.0,111391.859375,7926098
2016-04-30,142000.0,144000.0,131500.0,139500.0,108286.859375,9731425
2016-05-31,137500.0,144000.0,133500.0,135500.0,105181.875,12447763
2016-06-30,136500.0,139500.0,128500.0,132000.0,103207.4921875,12173772
2016-07-31,132500.0,138000.0,129500.0,133000.0,103989.3671875,10540385
2016-08-31,133000.0,142000.0,131500.0,135500.0,105944.0546875,10375055
2016-09-30,135500.0,141500.0,131000.0,140000.0,109462.4609375,9719714
2016-10-31,141000.0,141500.0,129000.0,133000.0,103989.3671875,10564720
2016-11-30,133000.0,148000.0,132000.0,146000.0,114153.7421875,8047692
2016-12-31,146000.0,155500.0,139000.0,139500.0,111384.03125,9430966
2017-01-31,140000.0,151500.0,135500.0,149500.0,119368.546875,8920844
2017-02-28,149500.0,171000.0,140000.0,157500.0,125756.1484375,13885644
2017-03-31,156500.0,157000.0,136500.0,144000.0,114977.046875,12552830
2017-04-30,144000.0,173000.0,143000.0,163000.0,130147.625,13326549
2017-05-31,162500.0,170000.0,157000.0,159500.0,127353.0390625,9282685
2017-06-30,158500.0,164000.0,144500.0,145000.0,116503.65625,12897025
2017-07-31,145000.0,151000.0,138500.0,140500.0,112888.0234375,10120323
2017-08-31,141000.0,151000.0,133000.0,150500.0,120922.765625,10852741
2017-09-30,150500.0,162000.0,146500.0,161000.0,129359.234375,10877800
2017-10-31,159000.0,166500.0,153000.0,164500.0,132171.390625,10880854
2017-11-30,164500.0,165500.0,148000.0,156000.0,125341.875,8525536
2017-12-31,156000.0,167500.0,145500.0,162000.0,132748.734375,12990959
2018-01-31,161500.0,164000.0,152000.0,161500.0,132339.0,9078933
2018-02-28,161500.0,161500.0,142500.0,143500.0,117589.15625,11411614
2018-03-31,144500.0,165500.0,144000.0,160000.0,131109.828125,12220708
2018-04-30,160000.0,163000.0,136000.0,139000.0,113901.6796875,11539982
2018-05-31,138500.0,144000.0,123000.0,125500.0,102839.296875,12451114
2018-06-30,125000.0,131500.0,118000.0,129500.0,106955.90625,9794773
2018-07-31,130000.0,130500.0,122000.0,125000.0,103239.2890625,7960303
2018-08-31,124500.0,137000.0,123500.0,129500.0,106955.90625,8007664
